talker.id,gender,p.cog_hz,b.cog_hz,t.cog_hz,d.cog_hz,k.cog_hz,g.cog_hz,p.vot_ms,b.vot_ms,t.vot_ms,d.vot_ms,k.vot_ms,g.vot_ms,p.f0_hz,b.f0_hz,t.f0_hz,d.f0_hz,k.f0_hz,g.f0_hz
1,F,572.72674761514,850.365425845473,763.883711826566,1389.77864693841,697.622123652591,905.153546208448,14.5075973662121,5.06461304052499,18.2525641366167,9.2659853955763,15.0055504586306,9.74705815054381,35.6218834946181,29.0808444980482,44.1529209115807,44.902781407575,41.3077544099795,31.6354015489378
2,F,582.106616498399,416.723322759378,1099.13456457557,1343.90497608482,915.848373786195,717.539778448729,21.8979206467824,4.21100135547353,23.6889043979257,8.04914888841348,21.116732737897,9.55397132910405,34.3326024225214,20.9138603470175,32.4714464791105,28.7242606389936,34.057096274541,29.6640062085572
3,M,409.335086848924,714.421460087067,753.473689176431,1273.6464466998,697.634459632921,772.913031285531,16.4973151348221,6.85758831305569,19.9553783316504,7.13552879053994,15.3534113342696,9.77175833104321,17.1683349788012,12.9489098032968,48.3331998570717,15.409141301517,18.7843733046269,28.1432094969691
4,M,496.541411359852,627.480190756325,542.550752264686,1191.99812723846,638.487650174205,716.254196068269,22.6221762364004,5.70302914768659,22.4900693829358,7.61172046180216,22.9774566683683,11.3936241476785,29.0306835969627,23.3328701426502,26.6873144350876,33.7661949174269,29.5856837138435,28.1942511123891
5,M,421.213298822071,585.680159053393,834.811483591665,1149.89767025906,717.507520657904,861.370441721499,16.3150186004438,5.09089985150164,16.7645985548685,7.52061821701886,19.9636253379469,9.39988218478145,13.4115168297039,10.5939916987846,15.1045920346879,21.3641699579936,20.820314416295,18.6760925398289
6,M,494.228095442309,397.684345136443,694.776580615221,1050.71381249118,671.744642843811,609.43031021192,13.0809849310551,3.46774545125752,14.3653827032819,6.48932268509874,14.5290416087824,10.9126204432694,22.7758086390468,16.7397342704574,17.5184006816455,22.5747421572423,27.4511492802429,20.8409889181355
7,M,546.075906772262,172.366316992779,982.838376917075,788.838305561408,713.196801405303,756.549491150829,16.4401435034501,3.42957434983409,12.5892343426613,5.85974420765485,16.1636905108645,8.48696066480494,16.8683236619377,12.3868404173645,14.7120658478312,14.3577443197954,15.0635123472211,16.1290024078125
8,M,491.472591396781,356.062522437224,628.599219209232,864.377273150094,625.045969619562,528.025896927346,11.4723736661823,3.95463649698496,18.2817703281257,4.44313796908994,20.1407383556388,5.5419208697934,26.3491670361418,23.6666639497333,31.7403209001775,30.7477505588907,28.2572817149203,23.8620660928395
9,M,600.776178388599,599.339764857153,1201.3032019299,1444.64225812295,656.068043907787,730.354679686031,23.9348491046243,5.14440553279401,20.0563213142389,8.56819805189877,25.9561528067434,8.12747249127368,31.6706660612654,19.2642285687835,22.6138905612098,28.4959912105161,34.5940514642638,27.3236122191908
10,M,342.503560118014,419.528335812464,879.753563444584,1016.05088548863,561.637624843947,660.182313680501,15.0147414936235,5.16878610845477,19.5710517434479,9.37989376602514,18.8002506255926,6.99794415787204,21.4591445559839,17.6336862112702,16.3585741075474,22.7918441177947,20.8934549800212,18.2900991273671
11,M,567.446974151748,572.400979343192,1016.74874179633,1256.44240675096,823.536929635584,872.604622939645,16.0178095729185,4.53961039301825,20.6993270334044,7.55602543826769,13.94046045821,10.1773854844891,12.3010932080735,10.8396444072132,9.93736150537595,13.3474363562366,12.5685401365846,11.1979959763146
12,M,512.608131995891,594.677924538703,719.317608569981,956.632171095916,748.256749824043,738.915646102601,16.5241814147803,6.23891324362862,26.5949332804261,7.39242982030331,19.8634489395362,11.3412865597361,30.9647271558304,18.777329227778,18.9043278028048,50.6945643681167,27.6748498161194,43.7407933699748
13,M,567.569321364696,373.371106370482,1076.21251786648,1038.46312617276,852.494390936969,682.042312197712,15.9657516445683,4.58576544184015,14.9000065448007,5.88736344250916,16.7075698154311,9.30743417896876,24.2421240228185,32.285807820234,19.1082701824558,23.7921678523845,24.3851795950118,40.2789750782864
14,F,1036.79472547927,328.605698591064,434.995656998198,1471.53651034604,1027.66244385251,1301.81719761946,18.526278181471,2.22742370496347,21.2065836927937,7.4952061680399,18.4390630031375,10.4640140201792,43.8300036993502,23.197048816357,18.8590373050468,40.373932333029,50.2368627710654,41.8203957726346
15,F,636.909429585741,607.371228453018,1053.434018889,1404.85438848823,1098.68525970259,846.815423103356,16.4029241861311,2.48997400138527,17.871947212746,9.03227047523905,15.1521503454116,11.805678046687,43.1840673670564,43.2543161284504,42.3119289080013,50.054031760989,30.8678858145701,48.7323800734796
16,M,451.981509817177,341.520824481111,770.595541864461,967.899014552652,687.887932460238,737.306398963101,13.5545868796599,4.48595144376979,14.9001841671722,10.3183228800757,12.8903761315875,13.982446042926,18.1321537794549,13.0395863194339,18.3033347856702,17.1444639192669,21.3527556169564,20.5959106640711
17,F,638.142821762709,299.168507781073,631.325469662407,1009.77904376939,491.246394668482,640.194032874593,18.7915082877933,2.99919796816701,20.0208974907863,6.27594135079023,21.6605404444472,10.839420555301,33.6305513177838,29.1806397817722,35.4267815647197,39.4704881117699,34.961744580007,34.677571369389
18,M,403.838750077981,445.615859435868,998.867821473444,1024.00761709869,438.989686533262,672.791267475149,21.5763358181204,6.1288484069709,24.9682068871379,9.24362264828775,23.4382692309011,10.6958862807474,10.5569539011676,7.00892338989519,9.71078511157904,9.47931918597884,9.83812940872196,7.38667522225202
19,F,511.471442847689,607.5803620445,1175.70438710168,1301.3392508997,786.559961780166,756.830013051784,17.6347319657163,6.7420165930033,16.4286732952179,8.43438063620182,17.1909255411782,10.1637980658491,44.596223784176,54.7594017905059,39.1539591826988,63.0528062810536,48.2879303983506,55.6894499220091
20,M,671.234476112532,184.382730755005,867.885278207559,1042.82318076078,723.809964317628,522.481911615225,11.7828880496283,3.29789420611007,14.0938683995425,6.11915417765191,18.6317907012706,8.88956142967598,22.1971865407932,23.2331381175531,17.9073973046536,30.7798426403522,26.522845534753,26.3520435351206
21,F,847.218969306625,390.472032853367,626.455917509103,851.612677252415,1004.54250298516,1298.35110238119,16.1196514579894,2.70921934856307,27.1811209363172,6.51180175348089,28.293105809747,11.7249897850523,29.1547200306233,28.4884636134639,30.5757910093194,20.3078791445571,34.0639837788352,33.3969294273771
22,M,684.094704298189,619.700103774155,956.420774395111,1196.06035463951,654.658210399122,736.757673283546,16.5393320367365,4.90117595317831,21.7120486338078,6.5181871127638,15.2528311683399,10.661561497588,10.334155759733,6.95449919268911,7.7752634055968,6.95213775342451,8.41052595352728,7.02419087802247
23,F,654.273054866006,838.618424667691,972.20997115433,1395.90354140202,987.901310639062,966.543567825322,21.9445073263931,4.09213073807791,23.353895743705,9.76057266094923,19.9874120653174,11.9312636913362,70.9201258564654,37.2903195753066,55.5833522528357,45.6115790236612,70.090174175442,54.4556594444255
24,M,618.144605003741,706.641325526182,972.779225002946,1132.07508595111,658.428807200292,733.295353887982,15.6100119878617,5.20203228881567,18.9173523987465,8.079481662987,15.0570689780109,8.73721872337413,63.936475666269,36.2741730674931,123.111652767494,23.6655637264463,28.4994512276608,125.747800259498
25,F,789.725376998673,841.704922430848,640.913065367676,1301.82221058211,649.304035699986,793.180694434755,18.9009937824094,4.63940827420068,25.6361261476292,9.8497109029325,19.5272075960761,7.79012586247724,31.3958093364623,43.1753305694771,26.3276708610716,53.1384149507509,41.8392054243038,46.3910028307379
26,M,682.72854120868,417.241488657811,913.636534137493,1149.96812408412,599.422633088162,696.005500751589,17.9099949932857,3.68269383335953,24.1513157963405,6.77033568355235,17.8361089268995,10.8308467055608,16.1256997979198,10.2170758056047,10.7122618661921,12.5486069915102,14.0221939459536,9.46619587600455
27,F,579.643240066337,750.25662690178,1077.63072133526,1479.60246271695,695.857980393143,712.323057321167,19.1421554529425,5.10812110609822,24.1310548424163,9.12985989687674,19.6107331436261,9.27241202626053,41.1126240359336,11.0314369134099,21.5001972292772,34.986207336884,43.9810516903792,39.2395790469178
28,M,685.060944915235,264.982609441911,718.971560598982,1105.58579481464,759.594055468254,846.523518093803,18.1300337713501,4.09007900586982,22.8598875607303,5.77636464801565,13.4112164931977,10.0166794269133,38.5163533365125,31.2672839406186,56.1314708666579,36.2907049596018,38.3295047541936,36.5544812228072
29,M,669.141110486799,413.29105101193,948.212478323455,866.204525379631,431.829130773705,560.12871619045,15.5018119271412,5.14259578161334,17.4925315855819,6.68086832269651,19.1004417249082,9.99718309650896,17.6145061782668,14.1519031189021,16.518558419356,13.8317661999811,16.2364572237404,15.283311978632
30,M,637.844421279742,645.299267533908,1137.37626316233,1092.95862981181,747.139139757753,866.800269144956,17.5833432034322,5.54111592943007,19.3355293167818,7.27421998408163,15.5230636146157,9.90203345478634,10.8454891498882,22.2670605295657,10.6654833395137,12.1438112057701,11.8294983554746,92.9795966197219
31,M,591.748559721922,787.636218234014,899.806181278429,1274.43736731274,709.839155166901,945.762634309643,20.5432350380224,6.39357137852114,17.8643560835679,6.94503385520345,16.2679233043774,10.4704518096658,16.7805089696538,12.854530295164,14.5154522654084,14.8438600660629,18.2301694538672,18.6027082917147
32,M,792.231691975774,541.122386996041,570.998111431732,1416.71539829776,719.776323405128,838.843590032492,18.9876553555375,5.53702778159543,20.3575206480206,8.47972262700354,18.7926348808013,8.51077748113063,64.2967852744404,45.8880090402509,49.1592321750499,26.8287980758963,32.4263273893123,38.1013257695017
33,F,636.094636419482,671.637549175384,928.188418996606,1178.8694110379,851.104214469806,1020.8821888229,20.8184853707082,3.39420824239825,26.6453832012196,6.29508231396154,23.1914850036754,8.37228488896173,55.582036343597,56.069450330557,63.1673240737342,60.8236171178952,56.1066248024459,56.2781311298936
34,F,578.685143170262,892.167253223967,672.197907585166,1411.60580182035,790.78416555641,972.027846487224,24.3578311093076,4.19046090012009,29.3544989552827,8.83541456710774,24.6764860084153,10.6989938063574,37.4758201153515,33.524509339897,34.3991494994706,46.1452663644091,48.1822197957476,44.3000237011137
35,M,523.524157494758,538.38532735802,459.181991136318,1208.82400028267,508.694225928932,602.461099078344,22.3386327507734,3.94398202699065,24.438564309513,8.36444476695602,25.5180499508257,11.2032619140762,43.7478750941404,42.0770770545554,22.8681926819431,44.9037543935706,44.549009673702,48.9594076562819
36,M,589.322365229074,728.042321802871,954.499531018827,1538.9790293048,660.422267069645,806.640114172808,26.0937398276445,6.14353192607072,25.2508518691361,9.82645968554085,19.3608173367629,11.1468059125145,32.0631472936546,32.9944385591364,26.9849064777148,32.8920927560187,37.5728437549968,39.5604192166005
37,F,616.075256208428,558.489362719116,930.195907580284,1239.86906865618,762.878969235708,869.22875725682,20.3976504564663,3.92486771457345,19.2882847304982,7.05615797088588,17.1897405299513,8.66575156898475,48.920456593603,40.825136935276,42.0783714477093,34.5911018098288,51.7619812776253,41.538633454498
38,M,570.870837198382,631.414590022078,805.84954104449,1081.62644186082,610.754225142817,694.011098224185,21.6026404772251,5.97766825373474,20.1515207922496,7.93967126316991,25.5220223285484,10.8924946874442,11.4382613017423,10.2609651012451,9.74232757834242,10.8792959090369,9.70328019512262,9.18873136095588
39,M,645.460238921234,787.72523665964,907.91532769253,1717.75962165677,955.103170795304,994.6257039997,20.0484194103027,4.45198228325002,21.2603674180529,6.90487724646809,16.6921081611624,7.65883945400322,32.0658738178884,29.4593618737024,25.3980164522011,34.9391637540706,37.3434608682809,34.3910838996532
40,M,535.468168459701,439.075520565868,1168.50961295362,915.946905368112,739.769331424637,562.456579212574,19.1263005156724,3.17524043076281,17.0607544194884,8.3168139633694,21.0040051411956,9.31562714425944,32.1985580616102,25.365051070051,39.7859035989128,28.3398960753735,28.1402795470426,28.3630548450029
41,M,630.313554511421,149.311191332215,1015.90255262063,1378.28803322863,925.13360590289,830.900228683932,13.2696957376517,3.97001456966623,14.452055983953,6.98798096716139,12.2435692992721,11.0619456038852,14.3658612047469,11.9531338868065,15.2766915156366,11.848882916822,15.5850303968977,12.1076696450996
42,M,569.316098104263,667.879247262429,803.451648909854,1307.05777670656,742.614637056596,872.301003764633,19.5784701633318,4.32746379575007,19.2658891026979,6.90866150591303,13.9695132046727,10.1040843875085,13.3367808204654,14.8638708127862,10.6670372185867,12.7313679489701,12.3322008338526,15.0435910363498
43,F,503.097158017776,398.801750510322,1169.02125189558,1347.2559493291,743.204019406219,897.332820596223,18.9340223617998,3.74809008319694,19.6831246712837,7.32113957442883,21.5025425343874,10.2590885575361,19.6085130434643,16.0978504081352,24.2996612108509,21.5849291708838,25.6497605413021,22.1460499495343
44,F,668.14847333,742.870322283056,957.817679691728,1604.13256775704,747.984247471302,751.750339158478,19.2189255750921,4.03452984924233,20.1999305173055,9.11903417895154,19.3462820697295,10.2545649634237,39.8436718323426,27.1730719024723,60.0614472476636,35.3443147117908,30.9906499455285,38.2941558526177
45,F,596.545064162933,549.528546393899,1166.25438287423,1292.95146412576,689.83114226001,844.096160538963,19.4608739278354,3.54095214493043,20.4852003735247,7.89372505295568,22.1409174317425,9.65616761628334,41.3191619725866,21.5794888885043,53.6560650943002,42.0668432761646,27.7347221435763,19.7763194652245
46,M,691.155170829094,212.584459226208,610.762361275208,1187.93294666985,947.998982085969,570.008292734134,14.3271800677754,3.96961566804979,13.5220563553603,7.02122395733848,17.2469209052311,11.3371307607403,22.7431862745217,20.7372892147722,28.246736896142,28.6708995747437,40.3972045560537,21.2581782408318
47,M,717.901307330133,425.588029878238,1068.92145022201,1287.64626426798,863.516717355219,574.186535998185,19.4873916000174,4.21411945926172,21.666100558706,8.86804325328332,25.4037345045165,7.01672475086812,23.4418363692662,18.8098507491372,27.0532164599393,19.6020771436587,23.6941068878968,22.0991407171934
48,M,620.416280017941,773.627694213295,911.237474892321,1175.61315483436,752.594010306444,752.497062151144,28.7201925716617,6.01950986139735,24.4092219410205,8.41659357149165,21.3259272539374,14.3959857552111,14.8750794531708,21.764341214323,10.1061603576384,17.3047404628071,18.5895419945341,15.7593905413081
49,F,634.940047608757,880.656363814011,1114.71601883284,1600.25497099854,690.571252420696,968.220576235484,19.6279726709595,3.72810499879447,21.0903379619887,8.12890957000035,19.1686284014135,8.07382380579909,37.6839263382778,36.2172922014879,32.1543379871808,35.2390415335782,35.7112713113818,33.1360096787295
50,F,734.895989009856,835.149667381707,822.574272943747,1531.75355299022,953.19292004334,969.902074804855,14.9035823772945,4.25518964420772,8.69206344165537,7.33612004857167,12.432362461081,7.179150361507,34.0599198049079,16.0205043400595,21.1523804270156,34.7929371523942,19.4531558324377,38.1513695783022
51,M,442.494414372767,515.553601304788,794.022012332987,984.331486810776,568.937459197747,675.283419002479,27.6734340772203,3.27989053791338,25.2093537367737,6.3501311660901,23.0147671218607,11.1254231857989,17.5328296746557,20.0862200185845,21.371424936138,20.4165825822534,18.2081771118858,20.5650186371435
52,F,461.587884848044,808.445771664177,1166.8524375138,1160.54285048079,514.154790335312,592.142490483787,13.961006817177,3.64233078033998,14.5153683313924,9.1936978309784,14.5667326266828,8.78824554402322,32.3147890468417,11.4692134570987,17.6559782969723,12.746172569508,19.7926607427083,14.1431315219093
53,M,583.278765369908,532.46193267626,1170.30080881939,1561.36240409472,536.866097831306,648.524191381883,19.9827577138561,3.56343616319698,21.1782972713474,9.32808617901683,21.6503038725068,10.6391571658414,30.6409547055563,22.4540055948746,28.9323776952669,23.889684311853,30.2507209353405,27.9861428055787
54,F,598.549547416402,630.210047240952,633.058055449808,1307.23173889173,865.490606183465,860.85625436819,16.8673633872948,3.63458367139963,18.5471799666966,9.00171310609986,17.7562238732905,6.20921240554356,46.6167217763609,41.3546648361831,31.3403811009174,50.3612923187101,52.2877104116754,45.7585423487557
55,M,565.510117809819,451.560287362285,504.434147683073,1054.98931359148,885.324122418564,1065.9499407852,15.6521247546301,5.06904645458696,14.6436701284168,6.96864222731126,15.7829021412412,13.2768184507679,13.4330610105971,13.3127971748929,15.1253531238073,17.0297972819091,13.8305820483538,15.1744768915469
56,F,564.431336026379,761.438146785458,1257.60883105417,1217.90514198194,740.160120664197,689.285222251553,22.804362268113,3.63838036801818,24.0332288209164,6.70885141129048,16.8294308907707,9.41348850441377,45.3534170534165,41.930920376509,34.7579998952962,28.4467349873583,30.3423846123978,38.30522058807
57,F,746.696138309398,735.05186926642,1048.48399775408,1061.10349035457,770.061088261764,709.529749406101,15.2753432403683,3.91294977989408,15.3970453180131,5.70025223376958,18.2259932341397,10.3870853555704,34.6252116173706,19.2373724289023,15.6196188198632,15.5622043105446,18.9727894503148,13.059862105475
58,F,566.646483473239,715.757072965744,1174.62871756441,1287.87898576786,620.39008928935,773.736776379852,26.8293580283687,5.57726477343293,22.6757190689547,10.3005240524933,27.212145460898,9.41480505463312,62.5160591626725,48.7298942595833,55.3885843337697,64.6397033871638,73.9798912334423,71.2696521881982
59,M,501.860182496555,491.530820634202,703.394027820474,1644.3989360475,622.523209095789,821.126287638452,18.3121288829416,5.24319511795851,17.3735897916564,8.41060002318409,22.3015221901785,9.12246142423846,16.5827970360049,13.6777249812408,17.8139105001313,19.0772486427347,24.5611930981687,16.799769776875
60,F,659.153688303341,920.688351519643,750.874984780963,1925.36408394699,848.824596198903,984.190454021257,20.4411766634002,4.54439051482572,25.9211418900416,10.3154686662478,17.0841807902028,8.78715170505748,44.4041626408986,41.7320910094488,52.9203673384285,46.3427828625341,30.8155851738825,42.3932410215551
61,F,878.899786505835,813.542263824876,902.598429448606,1683.22324709933,689.38308567521,909.12213508617,20.9275415666111,5.48780333987785,22.3691770247288,9.14683091387394,16.9604705155209,9.68718131138748,73.2003270087264,54.948483306002,65.9079737372929,59.9174805427797,74.1209155289657,51.8442693804532
62,M,491.376739369584,302.722990818166,807.230812291817,828.921425297979,427.193424410827,469.713643636277,17.1890438298189,3.54131469889869,15.5984079900762,6.75205402419604,15.667665051154,7.32287777615312,19.6451795350907,17.2091009431049,19.1046295019021,24.0388442683869,19.4271425540624,16.2669323214885
63,F,763.711970971759,412.560098080897,1129.48335363518,1535.93483689585,660.468515517247,673.909060808076,16.7902593453324,3.2597219369815,16.7928877500861,9.9848922828091,19.684701810154,10.2310333727805,48.3446134651968,47.1275602718331,41.193392842345,44.3508014143599,39.0611213259888,40.842416104874
64,F,610.141098560809,782.770648456097,755.146346690304,1509.32679911884,626.254678284794,777.229131871458,16.3188644944597,3.15253104737013,16.4023531921657,7.26806733556742,17.5282832114994,9.56881121678522,63.4863943995207,48.4676585622377,60.968564089681,54.8488178022713,59.5050487873959,50.1645875099394
65,F,720.76946502466,938.017358876583,1295.27679091134,1428.53611801177,669.658798463744,741.877087276714,18.3318509707088,3.92327460733206,18.2053763199357,9.86446178278791,19.7253260549096,8.9818410912136,32.0388593755285,30.1452482653863,24.1006613426885,49.0478778224252,46.1712340158312,41.9571077335834
66,F,449.072857808717,396.074287896215,1080.84456010575,1449.10858983283,872.095259434083,742.039127764477,15.9910770509597,3.86290908732067,16.6479178434363,8.97854981233672,15.3081562531866,8.18670283961503,49.7132263921393,32.412066772916,40.7865668327481,45.6055063228338,71.0255709174886,42.5265766758277
67,F,571.348469084543,864.279403186321,1168.50333881128,1626.24722360061,830.244698881771,837.111297699322,21.9463879606993,4.94314979702018,20.4789153258419,11.3678063289164,22.4974589185855,10.9315608301805,27.329417648125,28.3088195554471,49.9846642224604,32.8773989225485,31.4369649481786,28.4792149659202
68,F,796.951448598615,834.587461774068,1115.11256022102,1843.92986476986,1156.53090471495,1301.67846178867,20.142904801017,5.48563571363606,23.0704886108406,11.4140791485844,18.6139778036199,9.97658267422569,47.3823551694513,49.0328768889575,49.9262755440907,59.5438675567717,55.3744791274801,58.4754479687849
69,F,607.806923977757,566.974987407313,791.346042117206,1286.36242473873,534.567360551601,493.009565024179,21.407763376876,7.08176006847548,19.3113388320519,11.7759224117397,16.3182996358227,6.26800992529377,40.002825031642,46.3314182768621,52.9348326815415,47.5329873030511,51.0699865990932,44.9689029211857
70,M,558.329437861146,661.430034546947,644.183371407645,1309.48080418288,753.571224018128,947.437549562483,16.7750647088164,5.35910972964643,17.4912787182006,7.91546512623163,16.2662360913035,13.2724478076416,21.7464417814516,13.0764136656134,16.8088583901598,34.730099749374,42.1606630429939,26.8052775796494
71,M,769.840236164692,562.974630385921,857.663234251674,656.074283544712,591.134416888958,690.777112107427,11.9433418205406,5.08566912234741,14.0874339384575,5.99880181880109,14.6604623802416,12.184355328094,11.9257696702259,8.23841478222762,6.94938758029736,8.78398497137957,10.8778867128559,10.0729423586949
72,M,988.553978203509,585.128748563938,1063.12148096827,1256.34380881886,776.793990785908,745.305903675203,20.3486420147548,5.19523434636353,23.6040598657948,6.63533441950401,20.8865586862467,8.63560880493787,21.453741646544,14.4178895919419,17.6420406761507,19.847484289745,16.7412659806645,18.0069924000825
73,F,725.750781164397,989.222296411546,446.118386539226,1568.43220959515,800.868056730241,1159.10006938118,15.9895388025533,5.5967493450999,20.4117106128332,9.2622169388368,18.8375463599356,10.7534484651631,41.8687480033027,37.6169584903728,37.7851238903024,51.2947542374824,31.1972280943058,42.6928859996906
74,M,541.039319994179,626.832333146571,818.98880788927,1285.20835502269,818.778591302004,752.76861417555,13.0580445609969,4.73129246165494,14.7462527042512,7.46443935243915,15.6240592248698,9.1985185211581,25.9865912981521,29.1491815244216,26.1259857981192,34.5215857293825,33.4039877270217,32.308573493156
75,F,563.895919153224,667.998316828674,499.149636238193,1531.43059200096,818.388228162299,896.371154887006,17.0600897805402,3.57251448014922,16.9854020566636,7.39287879763705,18.3626982563581,10.4660058111556,46.2091985360295,53.0465100401167,55.1236586113509,51.4002021384562,64.3685801711792,63.115884952257
76,M,680.147934486225,621.297839220748,814.289973685322,999.387697717062,780.476130323687,929.819658092801,17.9026696800974,6.45714982107713,11.8894334092366,6.68770710208392,18.2038297119067,9.82925790859039,26.0321809886665,9.19010390062839,11.1889326826551,14.8565168857795,10.37889711834,13.3308264742258
77,F,824.547404475883,1003.10792285755,718.474376694428,1753.11206054367,1074.73686486438,1019.89670472875,16.2244137561825,5.46814466346355,16.7648701028406,12.6743284565213,20.0425580409217,10.2476465102681,15.9023568363062,22.9991903460103,14.935832378162,17.7060249959434,14.4174532978614,12.7746070598255
78,F,521.89022873692,717.151105148119,1410.58204032381,1344.27209144998,836.015935239842,749.641331407074,15.7466876958847,3.7647952967845,17.4818716225423,8.92416556021819,17.9040526470686,8.04067879088272,44.3060528935159,33.7787196002846,39.5966555534856,59.7981582523782,47.2206309144851,58.1254522419118
79,F,477.077281321486,540.238764175793,1253.48324866253,1894.29683838709,597.373401344722,601.077903292246,19.8516086546724,3.11143260726422,22.5226171789374,9.09546268408254,20.4174571286209,6.64155931662124,35.9457784666162,27.916091230174,43.4015884662644,32.8182265491332,38.5143663487679,31.4114602299934
80,F,852.902064160947,1088.59019300829,951.676515971683,1781.501890581,845.813743596824,1051.27609787586,21.1442556963232,4.85789828368688,25.5316032437643,10.9395952695882,21.8012035428066,12.4259919769555,36.948370422558,21.2172198753798,24.5002270834414,33.7271357023983,45.8238145558442,53.5290509531468
81,F,611.697913354171,668.349242327348,846.61314261529,1275.20525128612,586.221020267453,787.988504855792,21.4750196877263,3.44088239883568,25.1410140653901,8.51390658615961,20.0635620004733,7.51037774397893,28.8985407206607,29.6740837220232,44.9416907222474,32.836047894107,42.2384209398171,34.706981857965
82,F,773.903399084794,976.292617555143,914.419914176692,1471.16734354558,737.726654916111,695.013842276302,23.1350626571512,5.91752851214365,34.4498042040644,8.72148711341216,23.9459320983897,10.958378990896,27.0328447840654,28.2907621619684,32.170796321381,27.5702337859384,31.8107762394428,30.8968391126944
83,F,508.326530774041,701.552080645323,655.891313728964,1252.9923804121,596.718773679853,742.147985352265,20.133704313479,3.65738045065776,18.6924518215711,11.0703629562148,18.1119784075221,10.8754735001366,20.2594666386704,23.7995696737039,14.473477867843,25.7446406066101,26.9923733588196,25.3316677055132
84,F,733.685808407469,403.909574083775,726.223217254665,1777.7627385806,1107.72348104048,949.107779272141,20.7845095827991,2.61953665196839,19.7990105236301,8.95674706873785,22.5876348068831,5.99890124935902,59.0929046570153,24.2310763013313,28.2813142686685,58.1025166504637,58.2754438597723,54.4443725383475
85,F,824.330228918124,1082.1933350526199,876.674334872819,1563.89121656644,1008.91872268573,970.116452297253,21.2286454405194,5.52758596691568,24.8522916305091,9.37436327772464,19.8157155675708,8.98488379187242,28.4649622959765,41.7542826093145,31.3652509485462,64.0838398658477,36.274447904868,53.4975777320506
86,M,922.228189613348,1067.69791229554,1185.62936294716,1523.53484559354,620.742333128752,737.321086594427,22.8846583063306,5.54818777547107,25.1057385204383,11.0222876597543,21.3907347344617,9.57068064850898,23.4122752583081,16.3963006640162,41.8733368874205,23.2102659967619,30.2271535665181,20.8166920772293
87,F,708.644568351441,259.92172207272,1076.97141652625,985.601079549058,599.592421390767,731.876009923034,15.7311851535593,3.41392764434409,17.795931984456,8.59569986199,19.0729632814298,8.72662663036192,27.3459820100227,16.9685189239048,33.7796767078871,34.0223962071034,37.6615601840208,27.1616917683783
88,F,729.864956119885,887.406458197713,1509.20443386196,1335.18757188212,953.198163270382,1080.85061892323,19.5269737019554,4.48171960785676,20.4051943435049,9.3823924226771709,22.9360753894088,9.47675929502198,49.6412343886032,45.2448214352473,44.6747418774205,53.9970905014535,56.1004717874617,44.9535455943739
89,F,713.703668301695,926.511809269798,1459.60705712473,1641.57791489719,944.074693806515,878.811222098351,16.5446631030325,5.47546493491494,19.6306738049722,7.98373852147627,19.1219801564651,10.471090433011,51.984735911711,43.7915983542061,51.2097956324677,50.1004629545306,23.6966792888565,53.613562001382
